GEN_DB,SP_DB,COUNTRY,LAT,LONG,Make SDM,Philippine map
Acisoma,panorpoides,Singapore,1.36341,103.84356,Yes,
Acisoma,panorpoides,Singapore,1.37459,103.84336,Yes,
Acisoma,panorpoides,Singapore,1.37698,103.89862,Yes,
Acisoma,panorpoides,Singapore,1.37732,103.78813,Yes,
Acisoma,panorpoides,Singapore,1.378,103.809,Yes,
Acisoma,panorpoides,Singapore,1.39864,103.80944,Yes,
Acisoma,panorpoides,Singapore,1.39972,103.79944,Yes,
Acisoma,panorpoides,Singapore,1.41595,103.81489,Yes,
Acisoma,panorpoides,Timor Leste,-9.201,124.315,Yes,
Acisoma,panorpoides,Timor Leste,-8.539,126.976,Yes,
Acisoma,panorpoides,Timor Leste,-8.516,127.018,Yes,
Acisoma,panorpoides,Timor Leste,-8.374,127.103,Yes,
Acrogomphus,jubilaris,Indonesia,0.5667,116.0333,Yes,
Acrogomphus,jubilaris,Malaysia,1.0648,110.2837,Yes,
Acrogomphus,jubilaris,Malaysia,1.11905,110.22793,Yes,
Acrogomphus,jubilaris,Malaysia,1.2664,110.3407,Yes,
Acrogomphus,jubilaris,Malaysia,1.3483,110.1454,Yes,
Acrogomphus,jubilaris,Malaysia,1.3783,110.1326,Yes,
Acrogomphus,jubilaris,Malaysia,1.5427,110.1513,Yes,
Acrogomphus,jubilaris,Malaysia,1.60888,110.16077,Yes,
Acrogomphus,jubilaris,Malaysia,1.612533,110.19663,Yes,
Acrogomphus,jubilaris,Malaysia,1.6294,112.2199,Yes,
Acrogomphus,jubilaris,Malaysia,1.638,112.2216,Yes,
Acrogomphus,jubilaris,Malaysia,1.6547,112.2285,Yes,
Acrogomphus,jubilaris,Malaysia,1.6572,112.2432,Yes,
Acrogomphus,jubilaris,Malaysia,1.72225,109.69052,Yes,
Acrogomphus,jubilaris,Malaysia,2.012,114.672,Yes,
Acrogomphus,jubilaris,Malaysia,2.06478,113.67565,Yes,
Acrogomphus,jubilaris,Malaysia,2.8262,113.2073,Yes,
Acrogomphus,jubilaris,Malaysia,2.9123,113.2491,Yes,
Acrogomphus,jubilaris,Malaysia,2.9966,113.0128,Yes,
Acrogomphus,jubilaris,Malaysia,3.1116,113.6613,Yes,
Acrogomphus,jubilaris,Malaysia,3.3473,113.1556,Yes,
Acrogomphus,jubilaris,Malaysia,3.8003,115.4642,Yes,
Acrogomphus,jubilaris,Malaysia,4.006,114.82,Yes,
Acrogomphus,jubilaris,Malaysia,4.02332,114.82208,Yes,
Acrogomphus,jubilaris,Malaysia,4.03073,114.83385,Yes,
Acrogomphus,jubilaris,Malaysia,4.04202,114.87123,Yes,
Acrogomphus,jubilaris,Malaysia,4.04245,114.81373,Yes,
Acrogomphus,jubilaris,Malaysia,4.05012,114.85795,Yes,
Acrogomphus,jubilaris,Malaysia,4.0982,114.8374,Yes,
Acrogomphus,jubilaris,Malaysia,4.1982,114.043,Yes,
Acrogomphus,jubilaris,Malaysia,4.2018,114.0453,Yes,
Acrogomphus,malayanus,Malaysia,1.823,103.879,Yes,
Acrogomphus,malayanus,Malaysia,2.1106,102.3269,Yes,
Acrogomphus,malayanus,Malaysia,2.374167,102.607778,Yes,
Acrogomphus,malayanus,Malaysia,2.438915,103.272858,Yes,
Acrogomphus,malayanus,Malaysia,2.4481,104.5042,Yes,
